# nietzsche — quotations from Friedrich Nietzsche (1844–1900).
#
# Tab-separated, two columns: quote<TAB>source.
#
# Same contract as lib/ukhaan.tsv: the table is the source of truth and the
# `nietzsche` CLI (modules/home-manager/tools/nietzsche.nix) is only a reader.
# TSV rather than .nix so a second consumer (neovim, waybar, a script) can read
# it with a plain split on a tab. Lines beginning with '#' are comments.
#
# Translations are the standard public-domain / Kaufmann-Hollingdale renderings,
# lightly normalised; the source column names the work and, where it is certain,
# the section. Quotes whose attribution could not be traced to a work were left
# out on purpose — the internet's Nietzsche is half apocryphal.
#
# Latin script throughout, so this one is safe on every terminal surface.
What is happiness? The feeling that power increases, that a resistance is overcome.	The Antichrist, §2
Faith means not wanting to know what is true.	The Antichrist, §52
The most common lie is the lie one tells to oneself.	The Antichrist, §55
In truth, there was only one Christian, and he died on the cross.	The Antichrist, §39
The kingdom of heaven is a condition of the heart.	The Antichrist, §34
Man would rather will nothingness than not will.	On the Genealogy of Morals, III §28
The bad conscience is an illness, but an illness as pregnancy is an illness.	On the Genealogy of Morals, II §19
Punishment makes hard and cold; it concentrates; it sharpens the feeling of alienation.	On the Genealogy of Morals, II §14
All instincts that do not discharge themselves outwardly turn inward — this is what I call the internalisation of man.	On the Genealogy of Morals, II §16
Convictions are more dangerous enemies of truth than lies.	Human, All Too Human, §483
There are no eternal facts, as there are no absolute truths.	Human, All Too Human, §2
Hope is the worst of evils, for it prolongs the torment of man.	Human, All Too Human, §71
There is not enough love and goodness in the world to permit giving any of it away to imaginary beings.	Human, All Too Human, §129
Many a man fails as an original thinker simply because his memory is too good.	Human, All Too Human, §122
Whoever does not have two-thirds of his day for himself is a slave.	Human, All Too Human, §283
The advantage of a bad memory is that one enjoys several times the same good things for the first time.	Human, All Too Human, §580
The best author will be the one who is ashamed to become a writer.	Human, All Too Human, §193
A joke is an epigram on the death of a feeling.	Human, All Too Human
The surest way to corrupt a youth is to instruct him to hold in higher esteem those who think alike than those who think differently.	Daybreak, §297
The snake that cannot shed its skin perishes. So too with minds that are prevented from changing their opinions.	Daybreak, §573
A thinker sees his own actions as experiments and questions — as attempts to find out something.	Daybreak, §432
I am not a man, I am dynamite.	Ecce Homo, Why I Am a Destiny §1
My formula for greatness in a human being is amor fati: that one wants nothing to be different, not forward, not backward, not in all eternity.	Ecce Homo, Why I Am So Clever §10
Nothing consumes a man more quickly than the emotion of resentment.	Ecce Homo, Why I Am So Wise §6
One must pay dearly for immortality: one has to die several times while still alive.	Ecce Homo, Thus Spoke Zarathustra §5
How much truth can a spirit endure, how much truth can a spirit dare?	Ecce Homo, Preface §3
There are no facts, only interpretations.	Nachlass, 1886–87
We have art in order not to perish of the truth.	Nachlass (The Will to Power, §822)
Only sick music makes money today.	The Case of Wagner, §5
