# ukhaan — Nepali proverbs (उखान टुक्का).
#
# Tab-separated, three columns: devanagari<TAB>roman<TAB>meaning.
#
# TSV rather than .nix because two languages read this file: the `ukhaan` CLI
# (modules/home-manager/tools/ukhaan.nix) embeds it for awk, and the Neovim
# dashboard (nvim/plugin/dashboard.lua) reads it directly at first paint. A
# .nix list would need a second, generated Lua copy; splitting on a tab needs
# neither. Lines beginning with '#' are comments.
#
# Source: github.com/chapainaashish/nepali-ukhaan (MIT, (c) 2023 Aashish
# Chapain), parsed from that repo's README table. Corrections belong upstream
# as well as here.
#
# The roman column is what terminal surfaces show, per the script rule in
# docs/THEME.md; the devanagari column is for waybar/notifications.
आकाशमा थुके मुखमा छिटा	Aakash maa thuke, mukh maa chhitaa	Talking big in front of many people may fall flat in reality
आखाँले देखेको बिज्ञान भन्दा मनले बुझेको भगवान प्यारो	Ankha le dekheko bigyan bhanda man le dekheko bhagwan pyaro	Careless actions may have unintended consequences
आगो ताप्नु मुढाको कुरा, सुन्‍नु बुढाको	Aago taapnu muda ko kura sunnu buda ko	Aafu vanda thulo manxe ko aardi upadesh sunna parxa
आज घर पुगिएला त ? आफ्नै खुट्टालाइ सोध	Aaja ghar pugiyela ta? aafnai khutta lai sodha	Don't rely on others, trust your own abilities and judgment
आज मर्यो, भोलि ओखति	Aaja maryo, bholi okhati	Dhilo vaye paxi matra kei garna thalni
आजकालका केटी स्टाइलको भारी टाउकोमा भने डिस्को गर्ने जुम्राको ढाडी	Aajkal kaa keti style ko bhaari tauko maa bhane disko garne jumraa ko dhaadi	All style and no substance
आजको कामलाई भोलि नभन्नु	Aaja ko kaam lai bholi nabhannu	kaam na sachnu, aaja ko kaam aajai garni / There is not time like present
आधा गाग्रो छचल्किन्छ	Adha gagro chhachalkinchha	Half-hearted efforts are bound to fail
आफु भलो त जगत भलो	Aafu bhalo ta jagat bhallo	afuleh pargati garda samaj ko pragati afai hunxa kinaki ek ek jana milera nai samaj banxa
आफुले खान नपाएको अंगुर अमिलो	Aafule khaana napaayeko angur amilo	Telling bad things about a thing you can't get
आफू ताक्छु मुडो, बन्चरो ताक्छ घुँडो	Afu taakchhu mudo, bancharo takchha ghundo	Don't be too proud, It may harm you
आफू नमरी स्वर्ग देखिँदैन	Aafu namari swarga dekhidaina	Aafu le kei kaam gari na heri thaha hunna
आफै त महादेव उत्तानो पर, कसले देला बर	Aafai ta mahadev uttaano par, kasle delaa bar	Implying ownself don't have enough, forget about giving others
आफ्नै छोरी नखर्माउली, तन्नेरीलाई दोष	Aafnai chhori nakharmauli, tanneri lai dosh	Aafno dosh naheri aru laie dosh lagaune
आफ्नो छोराछोरी र अर्काकी स्वास्नी सबैलाई राम्रो लाग्छ	Aafno chora chori ra arkaa ki swasni sabai lai ramro laagchha	A person like their things more than others things
आफ्नो टाउको फुटे पछि मित को टाउको बेल बराबर	Aafno tauko fute pachhi mit ko tauko bel baraabar	When your own plans fail, blaming others is pointless
आफ्नो थैली सुरक्षित राखे अर्कालाई दोष लगाउनु पर्दैन	Aafno thaili surakshit raakhe arkaa lai dosh lagaunu pardaina	If you take care of your things, you won't have to blame others for the loss
आफ्नो थैलोको गाँठो कस्नु, अरुलाई दोष नदिनु	Aafno thailo ko gaatho kasnu, aru lai dosh nadinu	Keep your work yourself and don't blame others
आफ्नो नुन, आफ्नै पानी, खाउ ज्वाईं कोखा तानी	Aafno nun, aafnai paani, khau juwai kokha taani	Take care of your own needs before worrying about others
आफ्नो भाग्य आफैले बनाउनु पर्छ	Aafno bhaagya aafai le banaunu parchha	mehanat garera aafno sapana afai pura garna sakinxa rather than wait for things to happen
आफ्नो रुचि खानु, अर्काको रुचि लाउनु	Aafno ruchhi khaanu, arkaa ko ruchi launu	Focus on your own interests, not others
आफ्‍नो हात जगन्‍नाथ	Aafno haat jagannaath	We are responsible for our own actions and their consequences
आमा पनि ब्युटी छोरि पनि ब्युटी बाउले गर्नु पर्ने चुलाको ड्युटी	Ama pani beauty, chori pani beauty, bau le garnu parne chula ko duty	Everyone has their own responsibilities and do their duties
आमा बाबुको मन छोरा छोरी माथि, छोरा छोरीको मन डिङगो जुत्ता माथि	Aama baabu ko man chhora chhori mathi, chhora chori ko man dingo juttaa maathi	Parental love is unconditional while children tend to be more self-centered in their interests
आमा बाबुलाई समस्या टार्न गार्हो, छोराछोरीलाई भने स्टाईल नै प्यारो	Aamaa baabu lai samasya taarna gahro, chhora chhori lai bhane style nai pyaaro	Parental love is unconditional while children tend to be more self-centered in their interests
आमा-बाबा को मन छोरा तिर, छोरा को मन अर्काको छोरी तिर	Aama baba ko man chhora tira, chhora ko man arka ko chhori tira	buwa ama ko maya chora lai chora bane budi kp kura matrai sunne
आमाको माया आँखाको डिलमा	Ama ko maya ankha ko dil maa	Mother's affection is inherent and taken for granted like the pupil that allows us to see
आमाबाबुको मन छोराछोरी माथि छोराछोरीको मन ढुंगामुढा माथि	Aamaa baabu ko man chhoraachhori maathi choraa chhori ko man dhungaa mudaa maathi	Parental love is unconditional while children tend to be more self-centered in their interests
आमा–छोराको ऐंचोपैंचो, बाबु–छोराको लेनदेन	Aamaa-chhoraa ko aicho paicho, baabu-chhoraa ko len den	Relationship between mother and child is based on affection, while between father and child it is more transactional
आम्दानी चार आनाको खर्च बाह्र आनाको	Aamdani chaar aanaa ko kharchaa bahra aanaa ko	Aaye banda byaye dherai
आयूको छोरालाई वायूको डर	Aayu ko choora lai baayu ko dar	Hunai nasakne kura dekhi daraune
आयो गयो माया मोह, आएन गएन को हो को हो	Aayo gayo maya moha, aayena gayena ko ho ko ho	Family/friends who have always been there matter the most
आलु खाएर पेडाको धाक	Aalu khaayera pedaa ko dhaak	Sano kaam garera thulo kaam ko dhaak dine
अँध्याराको काम खोलाको गीत	Andhyaro ko kaam khola ko geet	Work without recognition is meaningless
अगुल्टो पनि नठोसी बल्दैन	Agulto pani nathosi baldaina	Disagreements happen in a relationship
इन्द्रको अगाडि स्वर्गको बयान	Indra ko agaadi swarga ko bayaan	Kei kura bare derai thaha vayeko manxe laie tei kura bare bayan garnu
ईट को जवाफ पत्थर ले दिनु	It ko jawaaf patthar le dinu	Tit for Tat
उही नाम्लो उही कुम्लो	Uhi naamlo uhi kumlo	jati kura garepani aakhir ma afno kaam afai sangha hunxa
ऋण काढेर घिऊ खानु	Rin kaadhera ghiu khaanu	Gharo vaie rako bela sokhin jiwan juna khojnu
ऋण लाग्दा नडराउनु, दिन लाग्दा डराउनु	Rin lagdaa nadaraunu, din laagdaa daraunu	Rin lagyo vane tirna sakinxa tara din lagyo vani derai samasya aauna sakxa
ऋण लिदा पनि नलिनु, दिदा पनि नदिनु	Rin lida pani nalinu, dida pani nadinu	Rin linu ra dinu thik haiena
एउटा थाप्लो दुईटा नाम्लो	Euta thaplo duita namlo	Euta kaam garna garo vaie rako bela arko kaam thapnu
एक कान दुई कान मैदान	Ek kaan dui kaan maidaan	Ek jana laie kei kura vane paxi gau vari ka laie tyo kura bare thana hunxa
एक कानले सुन्यो, अर्को कानले उडायो	Ek kaan le sunyo, arko kaan le udaayo	Aru le vaneko ko kura hawa ma udaune
एक माघले जाडो जाँदैन	Ek maagh le jaado jaadaina	Ek choti vako kura feri feri huna sakxa
एकता नै बल हो	Ekataa nai bal ho	Unity is strength
ओरालो लागेको मृगलाई बाच्छाले पनि खेद्छ	Oraalo laageko mrigha lai bachchhaa le pani khedchha	Tala pare paxi sabai le hepxan
औंला दिंदा डुँडुल्ना निल्ने	Aulaa didaa dudulnaa nilne	Give him an inch and he will take an yard, don't bite the hand that feed you
औषधी र उपदेश मीठो हुन्‍नँ	Ausadhi ra updadesh mitho hunna	Aru le deko upadesh kasai laie ni ramro lagdaie na
औसींमा किनेर, पुर्णेमा फाल्ने	Aunsi maa kinera, purne maa faalne	Saman derai din samma natiknu
कङ्गालको जात छैन, बोक्सीको गाउँ छैन	Kangaal ko jaat chhaina, boksi ko gaaun chhaina	Jata pani dhalna sakne manxe ko bhar hudaie na
कच्चा वैद्यको मात्रा यमपुरीको यात्रा	Kachchaa baidhya ko matraa yampurko yaatra	Inexperience can lead to mistakes and challenges
कता हराइस् नौनी विलौनीमा	Kataa haraayis nauni bilauni maa	Rup pariwartan garnu
कतै दिन, कतै रात, एकातिर भोक अर्कोतिर भात	Katai din, katai raat, ekaatira bhok arko tira bhaat	Kosaie laie dhuka paie rako bela arko manxe ramaie lo gari rako hunxa
कसैको आहार कसैको विष	Kasai ko aahar, kasaiko bish	Eutai kura ma bhibid bichar
कसैलाई लाखा, कसैलाई पाखा	Kasai lai kaakhaa, kasai lai paakhaa	kunailai maya garni kunailai hela garni
कसैले तपाईं भनोस् नभनोस् आफैं मपाईं	Kasaile tapai bhanos nabhanos aafai mapai	Aafno prasansa aafai garnu
कहिले सासूको पालो कहिले बुहारीको	Kahile saasu ko paalo kahile buhari ko	Life gives everyone a chance in their own time
कांही नभएको जात्रा हाँडी गाउँमा	Kahi navayeko jatra haadi gau maa	Kei kaam pani thik sanga nahune
काग कराउदै गर्छ, पिना सुक्दै गर्छ	Kaag karaudai garchha, pinaa sukdai garcha	Let the haters hate you always do what you want
काग बाठो भयो भने गु खान्छ	Kaag batho bhayo bhane gu khanchha	Derai jaani huna hunna
कागको नाम कागले काड्छ	Kaag ko naam kaag le kaadchha	Aafno bhadnam aafai garni
कागको बिचमा बकुल्ला	Kaag ko bich maa bakulla	Bhinna ko bich ma hunu
कागलाई बेल पाक्यो, हर्ष न विस्मात्	Kaag lai bel paakyo harsa na bismaat	koi manxe laie nachaie ne kura dinu
कागले कोइलिलाइ काले भन्छ	Kaag le koili lai kaale bhanchha	Aafu laie naheri aaru ko laie matra bhanu
कानो गोरुलाई औंसी न पूर्णिमा	Kano goru lai aunshi na purnima	Kaam garna naparni manxe laie sabai din ek naas hunxa
काम कुरो एकातिर कुम्लो बोकी ठिमीतिर	Kaam kuro ekaa tira kumlo boki Thimi tira	Ek tira kaam xa arko tira jani
काम गर्दा नोकरले जसरी, खाना खाँदा राजाले जसरी	Kaam garda nokar le jasari, khaba khada raja le jasari	Kaam garna pare paxi kaam garna ni tayar huni ani khana base paxi khana ni majja le khani
काम गर्ने कालु मकै खाने भालु	Kaam garne kaalu, makai khaane bhaalu	Euta le kaam garni arko le pasansa/upahar paune
काम गर्ने हनुमान, पगदी कस्ने ढेडु	Kaam garne hanumaan, pagadi kasne dhedu	One does the work other gets the credit
काम न धाम पेटभरी माम	Kaam na dhaam pet bhari maam	Kaam naie nagari pet bhari khani
काम साँचे आफूलाई, खान साँचे अरूलाई	Kaam saache aafulai, khaana saache arulai	If you want something done right, do it yourself
कामीको बिहे, अठार खाँचो	Kaami ko bihe, athaara khaacho	kunai pani euta kaam garna vanda pahila aru dherai kaam garna parni
कालो अक्षर भैँसी बराबर	Kaalo akshar bhaisi barabar	Doesn't know to read and write
किन रोइस् मङ्‍गले आफ्‍नै ढंगले	Kina royis mangale aafnai dhangale	aafaile garda kaam bigranu
कुकुर भुक्दै गर्छ, हात्ती लम्कँदै गर्छ	Kukur bhukdai garchha, hatti lamkidai garchha	Little people will try to stop you, keep moving
कुकुरलाई मासु पैंचो	Kukur lai maasu paicho	Lending things to someone who doesn’t know the value or they will never return the thing
कुकुरलाई घ्यू पच्दैन	Kukur lai ghyu pachdaina	Naramro lai jaty ramro garepani pachdaina
खाइलाग्दो देख्दा पोसो, चपाउँदा मैलो पित्तल	Khailaagdo dekhda poso, chapauda mailo pittal	Something that looks attractive or valuable at first glance may turn out to be worthless upon closer inspection
खाने मुखलाई जुँगाले छेक्दैन	Khaane mukh lai jungaa le chhekdaina	Where there is will there is way
खान्न–खान्न लोकाचार, खाएपछि माना चार	Khanna khanna lokachaar, khaaye pachhi maanaa chaar	Acting shy about receiving benefits but taking more than your share when the benefits come
गर्जने बादल वर्षदैन	Garjane baadal barshadaina	Thunder clouds do not always give rain
गु पुछेको टालो पनी बेलामा काम लाग्छ	Gu puchheko taalo pani bela maa kaam laagchha	One man's trash is another man's wealth
गु लाई चलाए गन्ध	gu lai chaleye gandha	Bad things have bad results
गोलीको घाउ निको हुन्छ, बोली को हुँदैन	Goli ko ghau niko hunchha, boli ko hudaina	pain inflicted by world never heals so be wise and aware about how you talk and converse with people
घाँटी हेरेर हाड निल्नु	Ghaati herera haad nilnu	To make purchases that only align with your income and budget
घोडा चड्ने मान्छे लड्छ	Ghoda chadne maanche ladchha	Trying without failing is impossible
चिन्‍नु न जान्‍नु घचेडी माग्नु	Chinnu na jannu ghachedi maagnu	Seeking assistance from someone you don't know or have no prior relationship with
चौटा खान गएकी बूढी झोलमा डुबेर मरी	Chauta khaana gayeki budi jhol maa dubera mari	Greed leads to even bigger losses
जसको बाँदर उसैले नचाउँछ	Jasko baadar, usaile nachauchha	Owner of the property gets to use it for their advantage
जसको लाठी उसको भैंसी	Jasko lathi usko bhaisi	Jo snagha srot sadhan xa uni mathi hunxa
जसको शक्ति, उस्को भक्ति	Jasko shakti, usko bhakti	Jo sangha sakhti xa sabai usai ko jai jai kar garxan
जसको सीता खानु, उसकै गीता गाउनु	Jasko sita khanu, uskai gita gaunu	Jasko nun khayeko xa usaiko ghunghan gaunu
जसरी आयो, त्यसरी गयो	Jasari aayo, tesari gayo	chitha parera aako paisa useless kaam mai karcha hunxa
जस्ले पैसालाई चिन्दैन, तेस्लाई पैसा ले पनी चिन्दैन	jasle paisa chindeina teslai paisa le chindeina	If you do not recognize the value of money, you will never have plenty of it
जसले मह काढ्छ, उसले हात चाट्छ	Jasle maha kaadchha usle haat chaatchha	Fruits of labour are sweet/ The one who does hard work reaps his rewards
जस्तो गुरु उस्तै चेला	Jasto guru ustai chelaa	teacher leh j sikayo student leh tehi sikxa ra they become similar
जस्तो देश उस्तै भेष	Jasto desh, ustai bhesh	In Rome do as the romans do
जस्तो नाम उस्तै काम	Jasto naam ustai kaam	Jasko j naam xa usle testai prakar ko kaam garxa
जस्तो रोप्यो, तेस्तै फल्छ	Jasto ropyo testai falchha	afu leh jasto byabhar garyo testai byabhar aru leh afu prati garxan
जहाँ दही, त्यहीँ बाहुनको सही	Jaha dahi, tyahi baahun ko sahi	Paisa jaha aauxa tehaaa baahun ko sahi hunxa
जहाँ पुग्दैन रवि, त्यहाँ पुग्छन् कवि	Jaha pugdaina ravi, tyaha pugchhan kabi	gahirahi ma kabi haru pugxan jaha samanya manxe pugdainan
जिउदाको जन्ती, मर्दाको मलामी	Jiuda ko janti mardaa ko malaami	A friend in need is the friend indeed
जुन गोरुको सिंग छैन उसैको नाम तिखे	Jun goru ko singh chhaina uskai naam tikhe	A person's behavior or actions do not align with their name or reputation
जुन जोगी आएपनि कानै चिरेको	Jun jogi aaye pani kanai chireko	Every person who does the same thing have similar characteristics/ Everyone who does no work at all
जुन थालमा खायो, त्यही थालमा हग्छ	Jun thaal maa khaayo, tehi thaal maa hagchha	To insult or disrespect a person who helped you during your tough times
जो होचो उसको मुखमा घोचो	Jo hocho usko mukh maa ghocho	Whoever is the lowest (in terms of rank/status….etc) gets bullied
टुहुराको पनि दिन फर्कन्छ	Tuhura ko pani din farkanchha	Every dog has its day. / Everyone has their days
ढुंगा खोज्दा देउता मिल्नु	Dunga khojda deuta milnu	To get something better while searching for something ordinary
ताक परे तिवारी नत्र गोतामे	Taak pare tiwari natra gotame	Being an opportunist
तित्राको मुखै वैरी	Titra ko mukhai bairi	If you too much talk, you will be in trouble
तैं रानी मै रानी, को भर्ला कुवाको पानी	Tai raani mai raani, ko bharlaa kuwa ko paani	all are avoiding the work
थुतुनो र मुतुनो जोगाउनु	Thutuno ra mutuno jugaunu	Control your mouth and sexual desire
थोपा थोपा मिलेर सागर बन्छ	Thopa thopa milera saagar banchha	A penny saved is a penny earned
दु:खीलाई दिन्छु नभन्‍नू, विधवालाई लान्छु नभन्‍नु	Din ujeli suti bitai, raat ujeli biskun sukai	Dukhi lai dinchhu nabhannu, bidhuwa lai laanchhu nabhannu
दुर्गंधित भन्ने थाहा पाएपछि उधिनिरहनु पर्दैन	Durgandhi bhanne thaahaa paayepachii udhini rahanu pardaina	Once you know it's smelly, there's no need to dig it up
दुवै हातमा लड्डु	Dubai haat ma laddu	To gain advantages or positive outcomes in all situations or contexts
दुश्मन खोज्न टाढा जानु पर्दैन	Dusman khojna tada janu pardaina	You don't have to go to far to find an enemy familiarity breeds contempt
धन भने पछि महादेव को पनि तीन नेत्र	Dhan bhane paxi mahadev ko pani tin netra	Money really matters
धान खाने मुसा, चोट पाउने भ्यागुतो	Dhaan khaane musha, chot paune bhyaguto	One get punish for other's mistakes
नजाने गाउँको बाटो नसोध्नु	Najaane gau ko bato nasodhnu	Don't waste time on things that do not concern you
नजिकको तीर्थ हेला	Najik ko tirtha hela	The value of things when we use regularly is diminished
नपत्याउने खोलाले बगाउँछ	Naptyaune khola le bagauchha	The underestimate thing turns out to be a formidable force
नभरेको गाग्रो छछल किन्छ	nabhareko gagro chalkanxa	Empty vessel sounds much. Half knowledge is dangerous
नमच्चिने पिङको सय झड्का	Namachine ping ko saya jhadkaa	Someone lacking skills or qualifications pretends to be capable or agile, despite their incompetence
नाच्न नजान्ने आँगन टेढो	Naachna najaanne agan tedo	Placing the blame on something after being unable to do a task
नाफा भए पेशा, घाटा भए दशा	Nafa bhaye pesha, ghata bhaye dasha	If you profit, it's a job, if you make a loss you've got bad luck
पर्छ टर्छ	Parchha tarchha	As it comes, so it goes
पशुपतिको जात्रा, तिघ्राको व्यापार	Pashupati ko jaatraa, tighraa ko byaapar	To kill two birds with one stone
पहिले गरेर देखाउनु अनि भन्नु	Pahile garera dekhaunu ani bhannu	First do it then tell it. or Action speaks louder than words
पाप धुरीबाट कराउँछ	Paap dhuri baata karauchha	Engaging in wrongful actions discreetly or behind the scenes
फुटेको खप्पर जहां गए पनि ठक्कर	futeko khappar jaha gaye pani thakkar	The broken pot gets bumped wherever it goes
फोश्रो आशा न देखाऊ नु	fosre asha na dekhaunu	Promise only if you can make it
बनको बाघले खवोस नखावोस, मनको बाघले खान्छ	Banko baagh le khaaos nakhaaos, man ko bhaag le khaanchha	Anxiety is harmful for you. One should not be oversensitive, or always think of negative situations
बाघ बुढो भयो भने नि शिकार गर्न छाड्दैन	Baagh budo bhaye pani sikaar garna chhaddaina	If it's in your nature you won't ever stop
